Generación,Mejor Individuo,Valor de la Función Objetivo
409,[14.2365618  26.69723537],376.43058266244554
410,[14.2365618  26.69723537],376.43058266244554
411,[14.2365618  26.69723537],376.43058266244554
412,[14.2365618  26.69723537],376.43058266244554
413,[14.2365618  26.69723537],376.43058266244554
414,[14.2365618  26.69723537],376.43058266244554
415,[14.2365618  26.69723537],376.43058266244554
416,[14.2365618  26.69723537],376.43058266244554
417,[14.2365618  26.69723537],376.43058266244554
418,[14.2365618  26.69723537],376.43058266244554
419,[14.2365618  26.69723537],376.43058266244554
420,[14.2365618  26.69723537],376.43058266244554
421,[14.2365618  26.69723537],376.43058266244554
422,[14.2365618  26.69723537],376.43058266244554
423,[14.2365618  26.69723537],376.43058266244554
424,[14.2365618  26.69723537],376.43058266244554
425,[14.2365618  26.69723537],376.43058266244554
426,[14.2365618  26.69723537],376.43058266244554
427,[14.2365618  26.69723537],376.43058266244554
428,[14.2365618  26.69723537],376.43058266244554
429,[14.2365618  26.69723537],376.43058266244554
430,[14.2365618  26.69723537],376.43058266244554
431,[14.2365618  26.69723537],376.43058266244554
432,[14.2365618  26.69723537],376.43058266244554
433,[14.2365618  26.69723537],376.43058266244554
434,[14.2365618  26.69723537],376.43058266244554
435,[14.2365618  26.69723537],376.43058266244554
436,[14.2365618  26.69723537],376.43058266244554
437,[14.2365618  26.69723537],376.43058266244554
438,[14.2365618  26.69723537],376.43058266244554
439,[14.2365618  26.69723537],376.43058266244554
440,[14.2365618  26.69723537],376.43058266244554
441,[14.2365618  26.69723537],376.43058266244554
442,[14.2365618  26.69723537],376.43058266244554
443,[14.2365618  26.69723537],376.43058266244554
444,[14.2365618  26.69723537],376.43058266244554
445,[14.2365618  26.69723537],376.43058266244554
446,[14.2365618  26.69723537],376.43058266244554
447,[14.2365618  26.69723537],376.43058266244554
448,[14.2365618  26.69723537],376.43058266244554
449,[14.2365618  26.69723537],376.43058266244554
450,[14.2365618  26.69723537],376.43058266244554
451,[14.2365618  26.69723537],376.43058266244554
452,[14.2365618  26.69723537],376.43058266244554
453,[14.2365618  26.69723537],376.43058266244554
454,[14.2365618  26.69723537],376.43058266244554
455,[14.2365618  26.69723537],376.43058266244554
456,[14.2365618  26.69723537],376.43058266244554
457,[14.2365618  26.69723537],376.43058266244554
458,[14.2365618  26.69723537],376.43058266244554
459,[14.2365618  26.69723537],376.43058266244554
460,[14.2365618  26.69723537],376.43058266244554
461,[14.2365618  26.69723537],376.43058266244554
462,[14.2365618  26.69723537],376.43058266244554
463,[14.2365618  26.69723537],376.43058266244554
464,[14.2365618  26.69723537],376.43058266244554
465,[14.2365618  26.69723537],376.43058266244554
466,[14.2365618  26.69723537],376.43058266244554
467,[14.2365618  26.69723537],376.43058266244554
468,[14.2365618  26.69723537],376.43058266244554
469,[14.2365618  26.69723537],376.43058266244554
470,[14.2365618  26.69723537],376.43058266244554
471,[14.2365618  26.69723537],376.43058266244554
472,[14.2365618  26.69723537],376.43058266244554
